State,City,Practice Area,Firm Name,Latitude,Longitude
Texas,Houston,Construction,"Stephens Reed & Armstrong, PLLC",29.786,-95.3885
Texas,Dallas,Construction,"Thomas, Feldman & Wilshusen, L.L.P.",32.7935,-96.7667
Texas,Dallas,Construction,Weinstein Radcliff Pipkin LLP,32.7935,-96.7667
Texas,Houston,Construction,West Mermis LLP,29.786,-95.3885
Texas,Dallas,Construction,Ziegler Gardner Bell,32.7935,-96.7667
Texas,McAllen,Corporate/Commercial,Atlas Hall & Rodriguez LLP,26.2252,-98.2467
Texas,Temple,Corporate/Commercial,Baird Crews,31.0982,-97.3428
Texas,Houston,Corporate/Commercial,Ball PLLC,29.786,-95.3885
Texas,Corpus Christi,Corporate/Commercial,Branscomb Law,27.8006,-97.3964
Texas,Houston,Corporate/Commercial,Crady Jewett McCulley & Houren LLP,29.786,-95.3885
Texas,Austin,Corporate/Commercial,Dwyer Murphy Calvert LLP,30.3005,-97.7522
Texas,Dallas,Corporate/Commercial,Egan Nelson LLP,32.7935,-96.7667
Texas,San Antonio,Corporate/Commercial,Elder Bray & Bankler,29.4632,-98.5238
Texas,Plano,Corporate/Commercial,Ferguson Braswell Fraser Kubasta PC,33.0198,-96.6989
Texas,El Paso,Corporate/Commercial,Gordon Davis Johnson & Shane P.C.,31.8476,-106.43
Texas,Dallas,Corporate/Commercial,Grable Martin PLLC,32.7935,-96.7667
Texas,Dallas,Corporate/Commercial,"Higier Allen & Lautin, PC.",32.7935,-96.7667
Texas,Austin,Corporate/Commercial,Huggins Reddien LLP,30.3005,-97.7522
Texas,Austin,Corporate/Commercial,Kastner Gravelle LLP,30.3005,-97.7522
Texas,San Antonio,Corporate/Commercial,KreagerMitchell,29.4632,-98.5238
Texas,Austin,Corporate/Commercial,"Leon | Alcala, PLLC",30.3005,-97.7522
Texas,Dallas,Corporate/Commercial,Otteson Shapiro LLP,32.7935,-96.7667
Texas,Dallas,Corporate/Commercial,Patel Law Group PLLC,32.7935,-96.7667
Texas,Dallas,Corporate/Commercial,Platt Richmond PLLC,32.7935,-96.7667
Texas,Austin,Corporate/Commercial,"Potts Blacklock Senterfitt, PLLC.",30.3005,-97.7522
Texas,Austin,Corporate/Commercial,Queen Saenz & Shultz,30.3005,-97.7522
Texas,Houston,Corporate/Commercial,"Rapp & Krock, PC.",29.786,-95.3885
Texas,El Paso,Corporate/Commercial,ScottHulse PC,31.8476,-106.43
Texas,Austin,Corporate/Commercial,"Selman, Munson & Lerner",30.3005,-97.7522
Texas,Austin,Corporate/Commercial,"Stahl, Sewell, Chavarria, Friend & Cohen, LLP",30.3005,-97.7522
Texas,Houston,Corporate/Commercial,Stenberg Law,29.786,-95.3885
Texas,Houston,Corporate/Commercial,Stephenson Fournier,29.786,-95.3885
Texas,Houston,Corporate/Commercial,"Stibbs & Co,,P.C.",29.786,-95.3885
Texas,Dallas,Corporate/Commercial,Vela Wood,32.7935,-96.7667
Texas,San Antonio,Energy & Natural Resources,Caldwell Clark Fanucchi & Finlayson PLLC,29.4632,-98.5238
Texas,Midland,Energy & Natural Resources,"Cotton Bledsoe Tighe & Dawson, P.C.",31.9973,-102.0779
Texas,San Antonio,Energy & Natural Resources,Elder Bray & Bankler,29.4632,-98.5238
Texas,Austin,Energy & Natural Resources,Jackson Sjoberg L.L.P.,30.3005,-97.7522
Texas,Houston,Energy & Natural Resources,"Kirby, Mathews & Walrath, PLLC",29.786,-95.3885
Texas,Houston,Energy & Natural Resources,KN Legal,29.786,-95.3885
Texas,Houston,Energy & Natural Resources,"Kuiper Law Firm, PLLC",29.786,-95.3885
Texas,Houston,Energy & Natural Resources,Looper Goodwine P.C.,29.786,-95.3885
Texas,Midland,Energy & Natural Resources,"Lynch, Chappell & Alsup",31.9973,-102.0779
Texas,Houston,Energy & Natural Resources,Oliva Gibbs LLP,29.786,-95.3885
Texas,Houston,Energy & Natural Resources,"Pierce & O’Neill, LLP",29.786,-95.3885
Texas,San Antonio,Energy & Natural Resources,"Ross Molina Oliveros, P.C.",29.4632,-98.5238
Texas,San Antonio,Energy & Natural Resources,Santoyo Wehmeyer P.C.,29.4632,-98.5238
Texas,Austin,Energy & Natural Resources,"Stahl, Sewell, Chavarria, Friend & Cohen, LLP",30.3005,-97.7522
Texas,Dallas,Energy & Natural Resources,The Castañeda Firm,32.7935,-96.7667
Texas,Houston,Energy & Natural Resources,"Toeppich and Associates, PLLC",29.786,-95.3885
Texas,Houston,Energy & Natural Resources,Zabel Freeman,29.786,-95.3885
Texas,Houston,Environment,Baker Wotring LLP.,29.786,-95.3885
Texas,Houston,Environment,Crain Caton & James,29.786,-95.3885
Texas,Austin,Environment,"Guerrero & Whittle, PLLC",30.3005,-97.7522
Texas,Austin,Environment,"Perales, Allmon & Ice, P.C.",30.3005,-97.7522
Texas,Dallas,Franchising,Canada Lewis & Associates,32.7935,-96.7667
Texas,San Antonio,Franchising,"Endereza Law, PLLC",29.4632,-98.5238
Texas,Dallas,Healthcare,ByrdAdatto,32.7935,-96.7667
Texas,Dallas,Healthcare,"Calhoun, Bhella & Sechrest, LLP",32.7935,-96.7667
Texas,Austin,Healthcare,"Gjerset & Lorenz, LLP.",30.3005,-97.7522
Texas,Dallas,Healthcare,Silhol Law,32.7935,-96.7667
Texas,Dallas,Immigration,Pollak LLC,32.7935,-96.7667
Texas,Dallas,Insurance,Gravely Attorneys & Counselors,32.7935,-96.7667
Texas,Dallas,Insurance,Grotefeld Hoffman,32.7935,-96.7667
Texas,Dallas,Insurance,"Hermes Law, PC",32.7935,-96.7667
Texas,Dallas,Insurance,Koning Rubarts LLP,32.7935,-96.7667
Texas,Houston,Insurance,"Roach & Newton, LLP",29.786,-95.3885
Texas,Austin,Intellectual Property,Amy E. Mitchell PLLC,30.3005,-97.7522
Texas,Austin,Intellectual Property,Armond Wilson LLP,30.3005,-97.7522
Texas,Houston,Intellectual Property,Baker Williams Matthiesen LLP,29.786,-95.3885
Texas,Houston,Intellectual Property,Blue Peak Law Group LLP,29.786,-95.3885
Texas,Austin,Intellectual Property,Botkin Chiarello Calaf PLLC.,30.3005,-97.7522
Texas,Houston,Intellectual Property,Boulware & Valoir PLLC,29.786,-95.3885
Texas,Dallas,Intellectual Property,Bragalone Olejko Saad PC,32.7935,-96.7667
Texas,Dallas,Intellectual Property,"Buether Joe & Counselors, LLC",32.7935,-96.7667
Texas,Houston,Intellectual Property,"Cabello Hall Zinda, PLLC",29.786,-95.3885
Texas,Plano,Intellectual Property,"Carstens, Allen & Gourley, LLP",33.0198,-96.6989
Texas,Waco,Intellectual Property,Cherry Johnson Siegmund James LLC,31.5493,-97.1467
Texas,Dallas,Intellectual Property,"Conley Rose, P.C.",32.7935,-96.7667
Texas,Austin,Intellectual Property,DiNovo Price LLP,30.3005,-97.7522
Texas,Plano,Intellectual Property,Ferguson Braswell Fraser Kubasta PC,33.0198,-96.6989
Texas,Houston,Intellectual Property,Fletcher Yoder,29.786,-95.3885
Texas,Dallas,Intellectual Property,Fulton Jeang PLLC.,32.7935,-96.7667
Texas,Marshall,Intellectual Property,Gillam Smith LLP,32.544,-94.3674
Texas,Dallas,Intellectual Property,Griffith Barbee,32.7935,-96.7667
Texas,Dallas,Intellectual Property,Harper & Bates LLP.,32.7935,-96.7667
Texas,Dallas,Intellectual Property,Hitchcock Evert LLP,32.7935,-96.7667
Texas,Dallas,Intellectual Property,Hosch & Morris,32.7935,-96.7667
Texas,Dallas,Intellectual Property,"Hubbard Law, PLLC",32.7935,-96.7667
Texas,Austin,Intellectual Property,Huggins Reddien LLP,30.3005,-97.7522
Texas,Dallas,Intellectual Property,Klemchuk,32.7935,-96.7667
Texas,Houston,Intellectual Property,Lloyd & Mousilli,29.786,-95.3885
Texas,Dallas,Intellectual Property,Nelson Bumgardner Conroy,32.7935,-96.7667
Texas,Houston,Intellectual Property,Osha Bergman Watanabe & Burton LLP,29.786,-95.3885
Texas,Austin,Intellectual Property,Parker Highlander PLLC,30.3005,-97.7522
Texas,Dallas,Intellectual Property,Skiermont Derby LLP,32.7935,-96.7667
Texas,Austin,Intellectual Property,Slayden Grubert Beard PLLC,30.3005,-97.7522
Texas,Austin,Intellectual Property,Williams Simons & Landis PLLC,30.3005,-97.7522
Texas,Austin,Intellectual Property,Wittliff Cutter PLLC,30.3005,-97.7522
Texas,Dallas,International Trade,"Torres Trade Law, PLLC",32.7935,-96.7667
Texas,Austin,Labor & Employment,Beckstead Terry Ditto PLLC,30.3005,-97.7522
Texas,Austin,Labor & Employment,Boulette Goldon & Marin L.L.P.,30.3005,-97.7522
Texas,Houston,Labor & Employment,Bruckner Burch PLLC,29.786,-95.3885
Texas,Dallas,Labor & Employment,Clouse Brown,32.7935,-96.7667
Texas,Houston,Labor & Employment,Dow Golub Remels & Gilbreath,29.786,-95.3885
Texas,Houston,Labor & Employment,Muskat Devine,29.786,-95.3885
Texas,Houston,Labor & Employment,Oberti Sullivan LLP,29.786,-95.3885
Texas,Dallas,Labor & Employment,"Rogge Dunn Group, PC.",32.7935,-96.7667
Texas,Houston,Labor & Employment,Shellist Lazarz Slobin,29.786,-95.3885
Texas,Midland,Labor & Employment,Williams Law Firm P.C.,31.9973,-102.0779
Texas,Austin,Litigation: General Commercial,"Almanza, Blackburn, Dickie & Mitchell LLP",30.3005,-97.7522
Texas,Dallas,Litigation: General Commercial,Arcadi Jackson LLP.,32.7935,-96.7667
Texas,McAllen,Litigation: General Commercial,Atlas Hall & Rodriguez LLP,26.2252,-98.2467
Texas,Dallas,Litigation: General Commercial,Bailey Brauer PLLC,32.7935,-96.7667
Texas,Temple,Litigation: General Commercial,Baird Crews,31.0982,-97.3428
Texas,Dallas,Litigation: General Commercial,Beckham Portela,32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,Berg Plummer & Johnson LLP.,29.786,-95.3885
Texas,Houston,Litigation: General Commercial,"Bissinger, Oshman, Williams & Strasburger LLP",29.786,-95.3885
Texas,Austin,Litigation: General Commercial,Botkin Chiarello Calaf PLLC.,30.3005,-97.7522
Texas,Dallas,Litigation: General Commercial,"Brewer, Attorneys & Counselors",32.7935,-96.7667
Texas,Dallas,Litigation: General Commercial,Brown Fox PLLC,32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,Burford Perry,29.786,-95.3885
Texas,Austin,Litigation: General Commercial,Burgess Law PC,30.3005,-97.7522
Texas,Dallas,Litigation: General Commercial,Burke Bogdanowicz PLLC,32.7935,-96.7667
Texas,Austin,Litigation: General Commercial,Cain & Skarnulis PLLC,30.3005,-97.7522
Texas,San Antonio,Litigation: General Commercial,Caldwell Clark Fanucchi & Finlayson PLLC,29.4632,-98.5238
Texas,Dallas,Litigation: General Commercial,Carter Arnett PLLC.,32.7935,-96.7667
Texas,Austin,Litigation: General Commercial,"Cawthon Law, PLLC",30.3005,-97.7522
Texas,Dallas,Litigation: General Commercial,Champion LLP,32.7935,-96.7667
Texas,Dallas,Litigation: General Commercial,Condon Tobin Sladek Thornton Nerenberg PLLC,32.7935,-96.7667
Texas,Fort Worth,Litigation: General Commercial,"Cotten Schmidt, LLP",32.7817,-97.3474
Texas,Houston,Litigation: General Commercial,Crain Caton & James,29.786,-95.3885
Texas,Dallas,Litigation: General Commercial,Crawford Wishnew & Lang PLLC.,32.7935,-96.7667
Texas,San Antonio,Litigation: General Commercial,"Davis, Cedillo & Mendoza, INC.",29.4632,-98.5238
Texas,Houston,Litigation: General Commercial,Diamond McCarthy LLP,29.786,-95.3885
Texas,Houston,Litigation: General Commercial,"Drumheller Hollingsworth & Monthy, LLP",29.786,-95.3885
Texas,Austin,Litigation: General Commercial,Edmundson Shelton Weiss,30.3005,-97.7522
Texas,Dallas,Litigation: General Commercial,Estes Thorne Ewing & Payne PLLC,32.7935,-96.7667
Texas,Dallas,Litigation: General Commercial,"Figari + Davenport, LLP",32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,"Fogler, Brar, O'Neil & Gray LLP",29.786,-95.3885
Texas,Houston,Litigation: General Commercial,Gibson PC,29.786,-95.3885
Texas,Dallas,Litigation: General Commercial,Godwin Bowman PC.,32.7935,-96.7667
Texas,Dallas,Litigation: General Commercial,Goldfarb PLLC,32.7935,-96.7667
Texas,Dallas,Litigation: General Commercial,"Hallett & Perrin, P.C.",32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,Hendershot Cowart P.C.,29.786,-95.3885
Texas,Dallas,Litigation: General Commercial,Holmes Law Group,32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,"Jordan, Lynch & Cancienne, PLLC",29.786,-95.3885
Texas,Dallas,Litigation: General Commercial,"Kessler Collins, P.C.",32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,Lotz Law Firm PLLC,29.786,-95.3885
Texas,Dallas,Litigation: General Commercial,"Martin Powers & Counsel, PLLC",32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,Mitby Pacholder Johnson PLLC.,29.786,-95.3885
Texas,El Paso,Litigation: General Commercial,Mounce Green Myers Safi Paxson & Galatzan,31.8476,-106.43
Texas,Fort Worth,Litigation: General Commercial,"Padfield & Stout, LLP",32.7817,-97.3474
Texas,Houston,Litigation: General Commercial,"Pierce & O’Neill, LLP",29.786,-95.3885
Texas,Dallas,Litigation: General Commercial,Platt Richmond PLLC,32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,"Pratt & Flack, LLP",29.786,-95.3885
Texas,San Antonio,Litigation: General Commercial,Prichard Young LLP,29.4632,-98.5238
Texas,Dallas,Litigation: General Commercial,RANDALL | GREER PLLC,32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,"Rapp & Krock, PC.",29.786,-95.3885
Texas,San Antonio,Litigation: General Commercial,"Ray Peña McChristian, P.C.",29.4632,-98.5238
Texas,Austin,Litigation: General Commercial,Rigby Slack Lawrence Pepper + Crawford LLC,30.3005,-97.7522
Texas,Houston,Litigation: General Commercial,"Roach & Newton, LLP",29.786,-95.3885
Texas,Houston,Litigation: General Commercial,"Rusty Hardin & Associates, LLP",29.786,-95.3885
Texas,Dallas,Litigation: General Commercial,Sbaiti & Company PLLC,32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,Schirrmeister Diaz-Arrastia Brem LLP,29.786,-95.3885
Texas,El Paso,Litigation: General Commercial,ScottHulse PC,31.8476,-106.43
Texas,Houston,Litigation: General Commercial,"Shannon, Martin, Finkelstein, Alvarado & Dunne, P.C.",29.786,-95.3885
Texas,Houston,Litigation: General Commercial,Shepherd Prewett PLLC,29.786,-95.3885
Texas,Houston,Litigation: General Commercial,"Stibbs & Co.,P.C.",29.786,-95.3885
Texas,Houston,Litigation: General Commercial,Strawn Pickens LLP,29.786,-95.3885
Texas,Dallas,Litigation: General Commercial,Sul Lee Law Firm,32.7935,-96.7667
Texas,Austin,Litigation: General Commercial,Terrazas PLLC,30.3005,-97.7522
Texas,Austin,Litigation: General Commercial,Thomas Williams McConnell PLLC,30.3005,-97.7522
Texas,Dallas,Litigation: General Commercial,Tillotson Johnson & Patton,32.7935,-96.7667
Texas,Houston,Litigation: General Commercial,"Ware, Jackson, Lee, O'Neill, Smith & Barrow, LLP",29.786,-95.3885
Texas,Austin,Litigation: General Commercial,Weisbart Springer Storm Hatchitt LLP,30.3005,-97.7522
Texas,Austin,Litigation: General Commercial,Wittliff Cutter PLLC,30.3005,-97.7522
Texas,Houston,Personal Injury,Arnold & Itkin LLP,29.786,-95.3885
Texas,Austin,Personal Injury,"Byrd Davis Alden & Henrichson, LLP",30.3005,-97.7522
Texas,Waco,Personal Injury,Cherry Johnson Siegmund James LLC,31.5493,-97.1467
Texas,Houston,Personal Injury,Davis Law Group,29.786,-95.3885
Texas,Dallas,Personal Injury,Kershaw Anderson King,32.7935,-96.7667
Texas,Dallas,Personal Injury,"Lyons & Simmons, LLP",32.7935,-96.7667
Texas,Houston,Personal Injury,Royston Razor,29.786,-95.3885
Texas,Houston,Personal Injury,Serpe Andrews,29.786,-95.3885
Texas,Houston,Personal Injury,The Ammons Law Firm,29.786,-95.3885
Texas,Dallas,Products Liability,"Waters Kraus Paul & Siegel, LLP",32.7935,-96.7667
Texas,Austin,Products Liability,Watts Law Firm (previously Watts Guerra LLP),30.3005,-97.7522
Texas,Dallas,Professional Liability,Cobb Martinez Woodward PLLC.,32.7935,-96.7667
Texas,Dallas,Professional Liability,Johnston Tobey Baruch,32.7935,-96.7667
Texas,Dallas,Professional Liability,"Kessler Collins, P.C.",32.7935,-96.7667
Texas,Dallas,Professional Liability,Koning Rubarts LLP,32.7935,-96.7667
Texas,Houston,Professional Liability,Shepherd Prewett PLLC,29.786,-95.3885
Texas,Dallas,Real Estate,Addison Law,32.7935,-96.7667
Texas,Austin,Real Estate,"Armbrust & Brown, PLLC",30.3005,-97.7522
Texas,Dallas,Real Estate,Canada Lewis & Associates,32.7935,-96.7667
Texas,Dallas,Real Estate,Cherry Petersen Albert LLC.,32.7935,-96.7667
Texas,Dallas,Real Estate,Condon Tobin Sladek Thornton Nerenberg PLLC,32.7935,-96.7667
Texas,Houston,Real Estate,Dow Golub Remels & Gilbreath,29.786,-95.3885
Texas,San Antonio,Real Estate,Golden Steves & Gordon LLP,29.4632,-98.5238
Texas,Austin,Real Estate,Hajjar Peters LLP,30.3005,-97.7522
Texas,Austin,Real Estate,Kruger Carson PLLC,30.3005,-97.7522
Texas,Dallas,Real Estate,"Liechty, McGinnis, Berryman & Bowen, LLP",32.7935,-96.7667
Texas,Houston,Real Estate,McFarland PLLC,29.786,-95.3885
Texas,Dallas,Real Estate,Platt Richmond PLLC,32.7935,-96.7667
Texas,Dallas,Real Estate,Powell Coleman & Arnold LLP,32.7935,-96.7667
Texas,Austin,Real Estate,Rigby Slack Lawrence Pepper + Crawford LLC,30.3005,-97.7522
Texas,Dallas,Real Estate,"Scheef & Stone, LLP",32.7935,-96.7667
Texas,Houston,Real Estate,Schlanger Silver LLP,29.786,-95.3885
Texas,Dallas,Real Estate,SettlePou,32.7935,-96.7667
Texas,Dallas,Real Estate,"Thalheimer, Cipione, Whelan & Morgan, PLLC",32.7935,-96.7667
Texas,Houston,Real Estate,Wilson Cribbs + Goren,29.786,-95.3885
Texas,Dallas,Transportation,"Cunnigham Swaim, LLP",32.7935,-96.7667
Texas,Houston,Transportation,Royston Razor,29.786,-95.3885
Texas,Houston,Trusts & Estates,Barr Law PLLC,29.786,-95.3885
Texas,Houston,Trusts & Estates,"Cantrell & Cantrell, PLLC",29.786,-95.3885
Texas,Houston,Trusts & Estates,"Davis & Willms, PLLC",29.786,-95.3885
Texas,Houston,Trusts & Estates,Stenberg Law,29.786,-95.3885
Texas,Austin,White-Collar Crime & Government Investigations,Ashcroft Sutton Reyes,30.3005,-97.7522
Texas,Dallas,White-Collar Crime & Government Investigations,"Burleson, Pate & Gibson, L.L.P.",32.7935,-96.7667
Texas,Houston,White-Collar Crime & Government Investigations,"Drumheller Hollingsworth & Monthy, LLP",29.786,-95.3885
Texas,Austin,White-Collar Crime & Government Investigations,Edmundson Shelton Weiss,30.3005,-97.7522
Texas,Houston,White-Collar Crime & Government Investigations,"Rusty Hardin & Associates, LLP",29.786,-95.3885
Texas,Houston,White-Collar Crime & Government Investigations,The Paul Nugent Law Firm,29.786,-95.3885
California,San Francisco,Personal Injury,"Allen, Glaessner, Hazelwood and Werth, LLP",37.7558,-122.4449
California,Burlingame,Trusts & Estates,Anderson Yazdi Hwang Minton & Horn LLP,37.5779,-122.3481
California,Orange County,Intellectual Property,Armond Wilson LLP,33.7175,-117.8311
California,San Francisco,FinTech,Ashbury Legal,37.7558,-122.4449
California,Los Angeles,Personal Injury,Athea Trial Lawyers,34.1141,-118.4068
California,San Francisco,Healthcare,Athene Law LLP,37.7558,-122.4449
California,Los Angeles,Labor & Employment,Attwood | Gregg LLP,34.1141,-118.4068
California,San Francisco,Litigation: General Commercial,Bartko LLP,37.7558,-122.4449
California,San Francisco,Energy & Projects,Bell Kearns,37.7558,-122.4449
California,Silicon Valley,Litigation: General Commercial,Bergeson LLP,37.3875,-122.0575
California,Los Angeles,Media & Entertainment,Berk Brettler LLP,34.1141,-118.4068
California,Los Angeles,Personal Injury,Berkes Crane Santana & Spangler,34.1141,-118.4068
California,Los Angeles,Products Liability,Berkes Crane Santana & Spangler,34.1141,-118.4068
California,Orange County,Environment,Bick Law LLP,33.7175,-117.8311
California,San Diego,Antitrust,Bona Law PC,32.8313,-117.1222
California,San Diego,Securities Litigation,"Bottini & Bottini, Inc",32.8313,-117.1222
California,San Francisco,Intellectual Property,"Bozicevic, Field & Francis LLP",37.7558,-122.4449
California,Oakland,Litigation: General Commercial,Bradley Bernstein Sands,37.8044,-122.2712
California,Los Angeles,Tax,Brager Tax Law Group,34.1141,-118.4068
California,Los Angeles,Litigation: General Commercial,"Brown Neri Smith & Khan, LLP",34.1141,-118.4068
California,Los Angeles,Artifical Intelligence,"Brown Neri Smith & Khan, LLP",34.1141,-118.4068
California,Orange County,Litigation: General Commercial,Brown Wegner LLP,33.7175,-117.8311
California,Los Angeles,Antitrust,BRS LLP,34.1141,-118.4068
California,Walnut Creek,Litigation: General Commercial,"Bursor & Fisher, P.A.",37.9101,-122.0652
California,Orange County,Litigation: General Commercial,Callahan & Blaine,33.7175,-117.8311
